timestamp,container,cpu_perc,mem_mib
1769547527.7749681,alice,0.14,28.08
1769547527.7749681,bob,0.64,26.74
1769547527.7749681,carol,0.17,28.39
1769547527.7749681,dave,1.23,26.86
1769547527.7749681,orchestrator,0.00,17.34
1769547530.851885,alice,0.54,28.44
1769547530.851885,bob,0.66,27.05
1769547530.851885,carol,0.16,28.59
1769547530.851885,dave,0.75,26.88
1769547530.851885,orchestrator,1.61,17.39
1769547533.9293354,alice,1.48,28.76
1769547533.9293354,bob,1.01,26.66
1769547533.9293354,carol,0.17,28.49
1769547533.9293354,dave,0.84,26.63
1769547533.9293354,orchestrator,0.00,17.59
1769547537.005083,alice,0.22,28.3
1769547537.005083,bob,0.86,26.86
1769547537.005083,carol,1.55,28.73
1769547537.005083,dave,1.11,26.87
1769547537.005083,orchestrator,0.00,17.34
1769547540.0821936,alice,0.11,28.27
1769547540.0821936,bob,0.70,26.66
1769547540.0821936,carol,0.14,28.25
1769547540.0821936,dave,0.87,26.87
1769547540.0821936,orchestrator,0.00,17.34
1769547543.1568575,alice,0.21,28.34
1769547543.1568575,bob,1.19,26.93
1769547543.1568575,carol,0.13,28.45
1769547543.1568575,dave,0.78,26.93
1769547543.1568575,orchestrator,0.00,17.34
1769547546.2298849,alice,0.24,28.23
1769547546.2298849,bob,1.07,26.69
1769547546.2298849,carol,0.23,28.4
1769547546.2298849,dave,0.92,26.89
1769547546.2298849,orchestrator,0.00,17.34
1769547549.3065157,alice,2.13,28.27
1769547549.3065157,bob,2.17,26.68
1769547549.3065157,carol,0.20,28.25
1769547549.3065157,dave,1.05,26.79
1769547549.3065157,orchestrator,1.18,17.65
1769547552.385228,alice,0.39,28.57
1769547552.385228,bob,1.10,26.96
1769547552.385228,carol,0.18,28.6
1769547552.385228,dave,0.98,26.9
1769547552.385228,orchestrator,0.50,17.6
1769547555.4639006,alice,0.21,28.37
1769547555.4639006,bob,0.92,26.95
1769547555.4639006,carol,1.55,28.72
1769547555.4639006,dave,1.15,26.91
1769547555.4639006,orchestrator,0.43,17.35
1769547558.542708,alice,0.11,28.27
1769547558.542708,bob,0.66,26.7
1769547558.542708,carol,0.15,28.63
